,Id,Player,G,A,PTS,Season,Team_against,Team_for,Hattrick,Date,League
0,220771, Vítězslav Traurig ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
1,220771, Aleš Martínek ,1,1,2,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
2,220771, Jan Novák ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
3,220771, Petr Sukalovský ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
4,220771, Jan Jiráň ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
5,220771, Jaroslav Drahotínský ,0,1,1,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
6,220771, Martin Bosák ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
7,220771, Libor Hrach ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
8,220771, Jakub Horyna ,1,1,2,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
9,220771, Jakub Kalfiřt ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
10,220771, Martin Fojtík ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
11,220771, Jakub Vilim ,1,0,1,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
12,220771, Petr Zahradník ,0,0,0,2018/2019,SK Bruisers Dejvice,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
13,221367, Vítězslav Traurig ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
14,221367, Aleš Martínek ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
15,221367, Jan Novák ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
16,221367, Petr Sukalovský ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
17,221367, Jan Jiráň ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
18,221367, Jaroslav Drahotínský ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
19,221367, Martin Bosák ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
20,221367, Libor Hrach ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
21,221367, Jakub Horyna ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
22,221367, Jakub Kalfiřt ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
23,221367, Martin Fojtík ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
24,221367, Jakub Vilim ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
25,221367, Petr Zahradník ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.09.2018, PHaSČ třída mužů
26,223045, Aleš Martínek ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
27,223045, Lucie Kisugite ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
28,223045, Jan Jiráň ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
29,223045, Jaroslav Drahotínský ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
30,223045, Martin Bosák ,0,1,1,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
31,223045, Libor Hrach ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
32,223045, Jakub Kalfiřt ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
33,223045, Jakub Horyna ,3,0,3,2018/2019,Prague Tigers E,FBC Mobydick Praha,1,30.09.2018, PHaSČ třída mužů
34,223045, Jakub Vilim ,1,0,1,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
35,223045, Petr Zahradník ,0,0,0,2018/2019,Prague Tigers E,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
36,223041, Aleš Martínek ,0,1,1,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
37,223041, Lucie Kisugite ,1,1,2,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
38,223041, Jan Jiráň ,0,0,0,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
39,223041, Martin Bosák ,4,1,5,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha,1,30.09.2018, PHaSČ třída mužů
40,223041, Libor Hrach ,1,2,3,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
41,223041, Jakub Kalfiřt ,1,0,1,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
42,223041, Jakub Horyna ,0,2,2,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
43,223041, Jakub Vilim ,0,0,0,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
44,223041, Petr Zahradník ,1,0,1,2018/2019,Lhokamo Panthers Praha F,FBC Mobydick Praha,0,30.09.2018, PHaSČ třída mužů
45,225298, Aleš Martínek ,0,1,1,2018/2019,FKMP Praha B,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
46,225298, Lucie Kisugite ,0,0,0,2018/2019,FKMP Praha B,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
47,225298, Šimon Smrček ,0,0,0,2018/2019,FKMP Praha B,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
48,225298, Jan Jiráň ,1,0,1,2018/2019,FKMP Praha B,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
49,225298, Martin Fojtík ,3,0,3,2018/2019,FKMP Praha B,FBC Mobydick Praha,1,13.10.2018, PHaSČ třída mužů
50,225298, Martin Bosák ,1,0,1,2018/2019,FKMP Praha B,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
51,225298, Libor Hrach ,0,1,1,2018/2019,FKMP Praha B,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
52,225298, Jan Novák ,0,0,0,2018/2019,FKMP Praha B,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
53,225298, Jakub Kalfiřt ,0,0,0,2018/2019,FKMP Praha B,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
54,225298, Jakub Horyna ,1,1,2,2018/2019,FKMP Praha B,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
55,225298, Jakub Vilim ,0,1,1,2018/2019,FKMP Praha B,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
56,225298, Petr Zahradník ,0,0,0,2018/2019,FKMP Praha B,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
57,225293, Aleš Martínek ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
58,225293, Lucie Kisugite ,1,0,1,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
59,225293, Šimon Smrček ,1,0,1,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
60,225293, Jan Jiráň ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
61,225293, Martin Fojtík ,1,1,2,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
62,225293, Martin Bosák ,1,1,2,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
63,225293, Libor Hrach ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
64,225293, Jan Novák ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
65,225293, Jakub Kalfiřt ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
66,225293, Jakub Horyna ,1,1,2,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
67,225293, Jakub Vilim ,1,0,1,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
68,225293, Petr Zahradník ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,13.10.2018, PHaSČ třída mužů
69,229876, Aleš Martínek ,0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
70,229876, Lucie Kisugite ,1,0,1,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
71,229876, Šimon Smrček ,0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
72,229876, Jan Jiráň ,0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
73,229876, Martin Bosák ,0,2,2,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
74,229876, Libor Hrach ,1,0,1,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
75,229876, Jan Novák ,0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
76,229876, Jakub Horyna ,0,1,1,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
77,229876, Jakub Vilim ,1,0,1,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
78,229876, Petr Zahradník ,0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
79,229873, Aleš Martínek ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
80,229873, Lucie Kisugite ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
81,229873, Šimon Smrček ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
82,229873, Jan Jiráň ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
83,229873, Martin Bosák ,1,0,1,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
84,229873, Libor Hrach ,1,0,1,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
85,229873, Jan Novák ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
86,229873, Jakub Horyna ,0,3,3,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
87,229873, Jakub Vilim ,1,0,1,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
88,229873, Petr Zahradník ,0,0,0,2018/2019,FBK Vosy Praha DDM P2 C,FBC Mobydick Praha,0,10.11.2018, PHaSČ třída mužů
89,232664, Aleš Martínek ,0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
90,232664, Lucie Kisugite ,1,1,2,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
91,232664, Šimon Smrček ,0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
92,232664, Jan Jiráň ,0,2,2,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
93,232664, Martin Fojtík ,2,0,2,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
94,232664, Jaroslav Drahotínský ,0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
95,232664, Martin Bosák ,6,1,7,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,2,25.11.2018, PHaSČ třída mužů
96,232664, Libor Hrach ,1,1,2,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
97,232664, Jan Šrámek ,0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
98,232664, Jan Novák ,0,0,0,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
99,232664, Jakub Kalfiřt ,1,0,1,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
100,232664, Jakub Horyna ,0,2,2,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
101,232664, Jakub Vilim ,1,0,1,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
102,232664, Petr Zahradník ,0,1,1,2018/2019,FLORBAL RIDERS,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
103,232662, Aleš Martínek ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
104,232662, Lucie Kisugite ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
105,232662, Šimon Smrček ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
106,232662, Jan Jiráň ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
107,232662, Martin Fojtík ,2,0,2,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
108,232662, Jaroslav Drahotínský ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
109,232662, Martin Bosák ,0,2,2,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
110,232662, Libor Hrach ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
111,232662, Jan Šrámek ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
112,232662, Jan Novák ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
113,232662, Jakub Kalfiřt ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
114,232662, Jakub Horyna ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
115,232662, Jakub Vilim ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
116,232662, Petr Zahradník ,0,0,0,2018/2019,FBC Slavia Praha C,FBC Mobydick Praha,0,25.11.2018, PHaSČ třída mužů
117,236944, Aleš Martínek ,0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
118,236944, Lucie Kisugite ,0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
119,236944, Šimon Smrček ,0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
120,236944, Jan Jiráň ,0,1,1,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
121,236944, Martin Fojtík ,1,2,3,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
122,236944, Martin Bosák ,2,1,3,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
123,236944, Vít Hryzák ,0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
124,236944, Libor Hrach ,0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
125,236944, Jan Novák ,0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
126,236944, Jakub Horyna ,1,1,2,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
127,236944, Jakub Vilim ,0,0,0,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
128,236944, Petr Zahradník ,1,0,1,2018/2019,FBC Majklar,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
129,236942, Aleš Martínek ,1,0,1,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
130,236942, Lucie Kisugite ,0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
131,236942, Šimon Smrček ,0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
132,236942, Jan Jiráň ,0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
133,236942, Martin Fojtík ,0,1,1,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
134,236942, Martin Bosák ,0,2,2,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
135,236942, Vít Hryzák ,0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
136,236942, Libor Hrach ,0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
137,236942, Jan Novák ,0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
138,236942, Jakub Horyna ,2,1,3,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
139,236942, Jakub Vilim ,1,0,1,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
140,236942, Petr Zahradník ,0,0,0,2018/2019,FC Bučis Team B,FBC Mobydick Praha,0,12.01.2019, PHaSČ třída mužů
141,239917, Aleš Martínek ,1,0,1,2018/2019,FBC Blue Horses B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
142,239917, Lucie Kisugite ,0,0,0,2018/2019,FBC Blue Horses B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
143,239917, Šimon Smrček ,0,0,0,2018/2019,FBC Blue Horses B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
144,239917, Jan Jiráň ,1,0,1,2018/2019,FBC Blue Horses B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
145,239917, Martin Fojtík ,3,1,4,2018/2019,FBC Blue Horses B,FBC Mobydick Praha,1,02.02.2019, PHaSČ třída mužů
146,239917, Martin Bosák ,1,1,2,2018/2019,FBC Blue Horses B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
147,239917, Libor Hrach ,1,0,1,2018/2019,FBC Blue Horses B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
148,239917, Jan Novák ,0,0,0,2018/2019,FBC Blue Horses B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
149,239917, Jakub Horyna ,1,4,5,2018/2019,FBC Blue Horses B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
150,239917, Petr Zahradník ,1,0,1,2018/2019,FBC Blue Horses B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
151,239912, Aleš Martínek ,0,1,1,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
152,239912, Lucie Kisugite ,0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
153,239912, Šimon Smrček ,0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
154,239912, Jan Jiráň ,0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
155,239912, Martin Fojtík ,2,2,4,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
156,239912, Martin Bosák ,0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
157,239912, Libor Hrach ,2,0,2,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
158,239912, Jan Novák ,0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
159,239912, Jakub Horyna ,1,2,3,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
160,239912, Petr Zahradník ,0,0,0,2018/2019,FBC Hornets Praha B,FBC Mobydick Praha,0,02.02.2019, PHaSČ třída mužů
161,242544, Aleš Martínek ,1,1,2,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
162,242544, Lucie Kisugite ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
163,242544, Šimon Smrček ,0,0,0,2018/2019,TJ Sokol Dobříš B,FBC Mobydick Praha,0,16.02.2019, PHaSČ třída mužů
