,Id,Period,Time,Type,Goal,Assist,Season,Minute,Seconds,Seconds_all
0,2415,3,00:26,-, Pavel Maršík, Roman Žampach,2008/2009,0,26,26
0,2420,1,00:34,-, Pavel Maršík, Roman Žampach,2008/2009,0,34,34
1,2420,1,11:10,OG, Martin Řepka,,2008/2009,11,10,670
2,2420,3,01:11,-, Milan Balzer,,2008/2009,1,11,71
3,2420,3,04:45,-, Roman Žampach, Pavel Maršík,2008/2009,4,45,285
4,2420,3,04:52,-, Roman Žampach, Pavel Maršík,2008/2009,4,52,292
5,2420,3,05:13,-, Ladislav Tyll, Roman Žampach,2008/2009,5,13,313
6,2420,3,14:42,PP, Adam Bardún, Roman Žampach,2008/2009,14,42,882
0,3419,2,10:12,PP, Ladislav Tyll,,2008/2009,10,12,612
1,3419,3,10:55,-, Roman Žampach, Milan Balzer,2008/2009,10,55,655
0,3450,1,01:03,-, Filip Weber,,2008/2009,1,3,63
1,3450,1,13:01,-, Václav Rides, Ladislav Tyll,2008/2009,13,1,781
0,3448,3,07:51,-, Jakub Mádr, Ladislav Tyll,2008/2009,7,51,471
0,6029,1,11:39,-, Adam Bardún,,2008/2009,11,39,699
1,6029,1,12:46,-, Adam Bardún, Václav Rides,2008/2009,12,46,766
2,6029,2,02:51,-, Jakub Nováček, Pavel Maršík,2008/2009,2,51,171
3,6029,2,03:56,-, Václav Rides, Petr Škaloud,2008/2009,3,56,236
4,6029,2,09:13,-, Václav Rides, Adam Bardún,2008/2009,9,13,553
0,6025,1,14:31,-, Václav Rides, Adam Bardún,2008/2009,14,31,871
1,6025,3,04:20,-, Jakub Nováček,,2008/2009,4,20,260
2,6025,3,04:42,-, Václav Rides,,2008/2009,4,42,282
3,6025,3,07:27,-, Ladislav Tyll, Jakub Nováček,2008/2009,7,27,447
0,6182,2,09:32,-, Václav Rides, Jan Mareš,2008/2009,9,32,572
0,6472,1,14:22,-, Jakub Nováček, Ctibor Chmelař,2008/2009,14,22,862
1,6472,2,08:54,-, Ladislav Tyll, Pavel Maršík,2008/2009,8,54,534
2,6472,3,09:37,-, Václav Rides, Pavel Maršík,2008/2009,9,37,577
0,6470,2,05:53,-, Ladislav Tyll, Václav Rides,2008/2009,5,53,353
0,456,1,13:25,-, Pavel Maršík, Petr Škaloud,2008/2009,13,25,805
1,456,2,05:15,-, Pavel Maršík, Ladislav Tyll,2008/2009,5,15,315
2,456,3,00:25,-, Petr Škaloud, Jakub Mádr,2008/2009,0,25,25
0,8515,1,14:53,-, Ladislav Tyll, Jakub Mádr,2008/2009,14,53,893
0,9641,3,07:27,-, Petr Škaloud, Jakub Mádr,2008/2009,7,27,447
0,10203,1,00:15,PS, Filip Weber,,2008/2009,0,15,15
1,10203,1,11:01,-, Ladislav Tyll, Adam Bardún,2008/2009,11,1,661
2,10203,2,05:46,-, Roman Žampach, Jakub Mádr,2008/2009,5,46,346
3,10203,3,04:26,PP, Adam Bardún, Jakub Mádr,2008/2009,4,26,266
0,10206,2,02:07,-, Pavel Maršík, Adam Bardún,2008/2009,2,7,127
1,10206,2,05:00,-, Václav Rides, Jakub Nováček,2008/2009,5,0,300
2,10206,3,05:22,-, Václav Rides, Jakub Nováček,2008/2009,5,22,322
3,10206,3,14:19,-, Václav Rides, Adam Bardún,2008/2009,14,19,859
0,12532,1,07:54,-, Roman Žampach, Milan Balzer,2008/2009,7,54,474
1,12532,1,11:05,-, Zdeněk Máčel, Pavel Maršík,2008/2009,11,5,665
2,12532,2,04:38,-, Jakub Mádr,,2008/2009,4,38,278
3,12532,2,06:16,-, Roman Žampach, Pavel Maršík,2008/2009,6,16,376
4,12532,2,07:57,-, Pavel Maršík, Ladislav Tyll,2008/2009,7,57,477
5,12532,3,01:19,-, Roman Žampach, Václav Rides,2008/2009,1,19,79
6,12532,3,08:34,-, Ladislav Tyll,,2008/2009,8,34,514
7,12532,3,13:43,-, Václav Rides, Pavel Maršík,2008/2009,13,43,823
0,12900,2,11:16,-, Pavel Maršík, Roman Žampach,2008/2009,11,16,676
1,12900,3,02:04,-, Roman Žampach, Pavel Maršík,2008/2009,2,4,124
0,12904,1,09:31,-, Pavel Maršík, Jakub Mádr,2008/2009,9,31,571
1,12904,2,01:52,PP, Jakub Mádr, Pavel Maršík,2008/2009,1,52,112
2,12904,2,04:23,-, Zdeněk Máčel, Jakub Nováček,2008/2009,4,23,263
3,12904,2,06:32,-, Milan Balzer, Ladislav Tyll,2008/2009,6,32,392
4,12904,2,11:58,-, Václav Rides, Zdeněk Máčel,2008/2009,11,58,718
5,12904,2,13:49,PP, Jakub Mádr, Petr Škaloud,2008/2009,13,49,829
6,12904,3,14:30,PP, Václav Rides, Jakub Nováček,2008/2009,14,30,870
7,12904,3,14:53,-, Ladislav Tyll, Ctibor Chmelař,2008/2009,14,53,893
0,14226,2,07:15,-, Ladislav Tyll, Roman Žampach,2009/2010,7,15,435
0,14224,1,01:59,-, Petr Škaloud, Štěpán Trousil,2009/2010,1,59,119
1,14224,1,04:41,-, Roman Žampach, Petr Škaloud,2009/2010,4,41,281
2,14224,2,05:59,-, Jakub Nováček, Štěpán Trousil,2009/2010,5,59,359
3,14224,2,11:52,-, Roman Žampach, Pavel Maršík,2009/2010,11,52,712
4,14224,3,09:49,OG, Jakub Michalik,,2009/2010,9,49,589
0,15977,2,09:54,-, Ladislav Tyll, Roman Žampach,2009/2010,9,54,594
1,15977,3,01:20,-, Pavel Maršík,,2009/2010,1,20,80
2,15977,3,02:42,-, Ladislav Tyll, Václav Rides,2009/2010,2,42,162
3,15977,3,07:45,-, Ladislav Tyll, Štěpán Trousil,2009/2010,7,45,465
0,15986,2,06:36,-, Jakub Nováček, Jakub Mádr,2009/2010,6,36,396
1,15986,2,08:29,PP, Pavel Maršík, Roman Žampach,2009/2010,8,29,509
2,15986,2,09:50,-, Ladislav Tyll, Petr Škaloud,2009/2010,9,50,590
3,15986,3,03:35,-, Petr Škaloud, Ctibor Chmelař,2009/2010,3,35,215
4,15986,3,06:07,-, Zdeněk Karásek, Jakub Nováček,2009/2010,6,7,367
5,15986,3,06:55,-, Jakub Nováček, Štěpán Trousil,2009/2010,6,55,415
0,17157,1,07:36,-, Zdeněk Máčel, Ladislav Tyll,2009/2010,7,36,456
1,17157,1,10:48,-, Václav Rides, Jakub Nováček,2009/2010,10,48,648
2,17157,2,01:53,-, Václav Rides, Jakub Nováček,2009/2010,1,53,113
3,17157,2,07:53,-, Zdeněk Máčel, Jakub Mádr,2009/2010,7,53,473
4,17157,2,10:12,-, Štěpán Trousil, Jakub Nováček,2009/2010,10,12,612
5,17157,3,00:10,-, Štěpán Trousil, Václav Rides,2009/2010,0,10,10
0,17158,1,10:03,-, Zdeněk Máčel, Ladislav Tyll,2009/2010,10,3,603
1,17158,2,11:52,-, Václav Rides, Štěpán Trousil,2009/2010,11,52,712
2,17158,3,06:11,-, Václav Rides, Jakub Mádr,2009/2010,6,11,371
3,17158,3,06:52,-, Roman Žampach, Adam Bardún,2009/2010,6,52,412
0,18371,1,10:10,-, Ladislav Tyll, Václav Rides,2009/2010,10,10,610
1,18371,3,05:01,-, Štěpán Trousil,,2009/2010,5,1,301
2,18371,3,08:24,-, Miloš Zapadlo, Štěpán Trousil,2009/2010,8,24,504
0,18389,2,06:17,-, Václav Rides, Roman Žampach,2009/2010,6,17,377
1,18389,3,04:38,-, Václav Rides, Ladislav Tyll,2009/2010,4,38,278
0,19348,2,01:07,-, Štěpán Trousil, Jakub Nováček,2009/2010,1,7,67
1,19348,3,03:47,-, Jakub Nováček,,2009/2010,3,47,227
0,19350,1,00:57,-, Ladislav Tyll, Roman Žampach,2009/2010,0,57,57
1,19350,1,07:18,-, Václav Rides, Jakub Mádr,2009/2010,7,18,438
2,19350,1,09:50,-, Miloš Zapadlo, Jakub Nováček,2009/2010,9,50,590
3,19350,2,08:34,-, Adam Bardún, Miloš Zapadlo,2009/2010,8,34,514
4,19350,2,11:20,-, Václav Rides, Roman Žampach,2009/2010,11,20,680
5,19350,3,03:46,-, Jakub Nováček, Adam Bardún,2009/2010,3,46,226
0,21821,1,02:33,-, Miloš Zapadlo, Ctibor Chmelař,2009/2010,2,33,153
1,21821,1,05:27,-, Václav Rides, Ladislav Tyll,2009/2010,5,27,327
2,21821,2,02:45,-, Václav Rides, Roman Žampach,2009/2010,2,45,165
3,21821,2,05:09,-, Štěpán Trousil, Filip Weber,2009/2010,5,9,309
4,21821,3,06:23,-, Štěpán Trousil, Martin Elišák,2009/2010,6,23,383
5,21821,3,11:04,-, Miloš Zapadlo, Štěpán Trousil,2009/2010,11,4,664
0,21824,1,07:35,-, Filip Weber, Roman Žampach,2009/2010,7,35,455
1,21824,1,11:14,-, Martin Elišák, Štěpán Trousil,2009/2010,11,14,674
2,21824,2,08:10,-, Štěpán Trousil,,2009/2010,8,10,490
3,21824,3,11:18,-, Miloš Zapadlo, Ladislav Tyll,2009/2010,11,18,678
4,21824,3,11:54,-, Miloš Zapadlo, Jakub Mádr,2009/2010,11,54,714
0,23281,3,06:11,-, Štěpán Trousil, Adam Bardún,2009/2010,6,11,371
1,23281,3,07:45,-, Roman Žampach, Ladislav Tyll,2009/2010,7,45,465
0,23278,1,11:45,-, Ladislav Tyll,,2009/2010,11,45,705
1,23278,3,05:47,-, Roman Žampach, Filip Weber,2009/2010,5,47,347
0,24752,1,05:12,PP, Ladislav Tyll, Jakub Nováček,2009/2010,5,12,312
1,24752,1,08:16,-, Filip Weber, Roman Žampach,2009/2010,8,16,496
2,24752,3,03:00,-, Miloš Zapadlo, Ctibor Chmelař,2009/2010,3,0,180
3,24752,3,06:29,-, Martin Elišák, Štěpán Trousil,2009/2010,6,29,389
0,24754,1,10:34,PS, Filip Weber,,2009/2010,10,34,634
1,24754,2,00:17,-, Ladislav Tyll, Roman Žampach,2009/2010,0,17,17
0,25954,1,06:16,-, Václav Rides, Miloš Zapadlo,2009/2010,6,16,376
1,25954,2,06:31,-, Miloš Zapadlo, Václav Rides,2009/2010,6,31,391
0,25950,1,08:06,PP, Jakub Nováček, Filip Weber,2009/2010,8,6,486
1,25950,3,08:56,-, Miloš Zapadlo,,2009/2010,8,56,536
0,27336,1,07:23,PP, Miloš Zapadlo, Martin Elišák,2009/2010,7,23,443
1,27336,1,09:16,-, Štěpán Trousil, Miloš Zapadlo,2009/2010,9,16,556
2,27336,2,09:44,PP, Martin Elišák, Miloš Zapadlo,2009/2010,9,44,584
0,29252,2,07:17,-, Miloš Zapadlo, Štěpán Trousil,2010/2011,7,17,437
1,29252,3,03:07,-, Ladislav Tyll, Václav Rides,2010/2011,3,7,187
2,29252,3,10:01,-, Václav Rides, Ladislav Tyll,2010/2011,10,1,601
0,29250,2,04:32,-, Václav Rides,,2010/2011,4,32,272
1,29250,2,08:14,-, Miloš Zapadlo,,2010/2011,8,14,494
0,30521,1,02:55,-, Filip Weber, Ctibor Chmelař,2010/2011,2,55,175
1,30521,2,08:44,SH, Ladislav Tyll, Miloš Zapadlo,2010/2011,8,44,524
2,30521,3,03:41,-, Štěpán Trousil, Roman Žampach,2010/2011,3,41,221
0,30518,1,04:51,-, Filip Weber,,2010/2011,4,51,291
1,30518,2,11:42,OG, Michal Kováč,,2010/2011,11,42,702
0,31231,1,07:03,-, Miloš Zapadlo, Martin Elišák,2010/2011,7,3,423
1,31231,1,10:01,-, Roman Žampach, Václav Rides,2010/2011,10,1,601
2,31231,1,11:04,-, Roman Žampach, Ladislav Tyll,2010/2011,11,4,664
3,31231,2,07:53,-, Zdeněk Máčel, Štěpán Trousil,2010/2011,7,53,473
4,31231,2,09:17,-, Miloš Zapadlo, Štěpán Trousil,2010/2011,9,17,557
5,31231,2,11:14,-, Roman Žampach, Filip Trousil,2010/2011,11,14,674
6,31231,3,02:37,-, Miloš Zapadlo, Štěpán Trousil,2010/2011,2,37,157
0,31228,1,04:52,-, Václav Rides, Miloš Zapadlo,2010/2011,4,52,292
1,31228,2,09:52,-, Václav Rides, Ladislav Tyll,2010/2011,9,52,592
2,31228,3,00:32,-, Zdeněk Máčel,,2010/2011,0,32,32
3,31228,3,04:12,-, Václav Rides, Roman Žampach,2010/2011,4,12,252
4,31228,3,07:30,-, Miloš Zapadlo, Štěpán Trousil,2010/2011,7,30,450
0,32999,1,02:45,-, Miloš Zapadlo, Martin Elišák,2010/2011,2,45,165
1,32999,1,10:04,PP, Miloš Zapadlo, Štěpán Trousil,2010/2011,10,4,604
2,32999,2,01:25,-, Štěpán Trousil, Filip Weber,2010/2011,1,25,85
3,32999,2,03:34,-, Štěpán Trousil, Ctibor Chmelař,2010/2011,3,34,214
0,32921,1,05:25,-, Martin Elišák, Štěpán Trousil,2010/2011,5,25,325
1,32921,1,08:11,-, Štěpán Trousil, Miloš Zapadlo,2010/2011,8,11,491
2,32921,2,07:51,-, Filip Weber,,2010/2011,7,51,471
0,34411,1,02:45,-, Jakub Nováček, Miloš Zapadlo,2010/2011,2,45,165
1,34411,1,10:31,-, Roman Žampach, Filip Weber,2010/2011,10,31,631
2,34411,2,00:55,-, Ctibor Chmelař, Roman Žampach,2010/2011,0,55,55
3,34411,2,02:07,-, Štěpán Trousil, Jakub Nováček,2010/2011,2,7,127
4,34411,2,05:37,-, Jakub Nováček, Jakub Mádr,2010/2011,5,37,337
5,34411,3,01:11,-, Štěpán Trousil, Roman Žampach,2010/2011,1,11,71
0,35915,1,08:43,-, Jakub Nováček, Jakub Mádr,2010/2011,8,43,523
1,35915,1,11:21,-, Zdeněk Máčel, Ctibor Chmelař,2010/2011,11,21,681
2,35915,2,05:41,-, Roman Žampach, Jakub Nováček,2010/2011,5,41,341
3,35915,2,10:54,-, Štěpán Trousil, Miloš Zapadlo,2010/2011,10,54,654
4,35915,3,00:30,-, Václav Rides, Ctibor Chmelař,2010/2011,0,30,30
5,35915,3,02:03,-, Ladislav Tyll, Roman Žampach,2010/2011,2,3,123
0,38225,1,09:12,-, Václav Rides, Adam Bardún,2010/2011,9,12,552
1,38225,2,06:57,-, Miloš Zapadlo, Martin Elišák,2010/2011,6,57,417
2,38225,3,11:46,-, Ctibor Chmelař, Jakub Mádr,2010/2011,11,46,706
0,38223,1,06:10,-, Martin Elišák, Miloš Zapadlo,2010/2011,6,10,370
1,38223,1,08:55,-, Jakub Mádr, Jakub Nováček,2010/2011,8,55,535
2,38223,1,09:55,-, Štěpán Trousil, Miloš Zapadlo,2010/2011,9,55,595
3,38223,1,10:28,-, Ctibor Chmelař, Václav Rides,2010/2011,10,28,628
4,38223,3,01:53,-, Miloš Zapadlo, Štěpán Trousil,2010/2011,1,53,113
5,38223,3,08:17,SH, Roman Žampach,,2010/2011,8,17,497
6,38223,3,09:10,-, Miloš Zapadlo, Filip Trousil,2010/2011,9,10,550
7,38223,3,10:33,-, Václav Rides, Martin Elišák,2010/2011,10,33,633
8,38223,3,11:16,-, Adam Bardún,,2010/2011,11,16,676
0,28904,1,06:39,-, Ctibor Chmelař, Miloš Zapadlo,2010/2011,6,39,399
1,28904,1,09:41,SH, Štěpán Trousil, Miloš Zapadlo,2010/2011,9,41,581
2,28904,1,11:25,-, Roman Žampach, Jakub Nováček,2010/2011,11,25,685
3,28904,3,07:40,-, Štěpán Trousil, Zdeněk Máčel,2010/2011,7,40,460
4,28904,3,09:37,-, Martin Elišák, Jakub Nováček,2010/2011,9,37,577
0,29832,1,03:34,-, Ctibor Chmelař, Václav Rides,2010/2011,3,34,214
1,29832,1,06:30,-, Miloš Zapadlo,,2010/2011,6,30,390
2,29832,2,00:55,-, Ctibor Chmelař, Adam Bardún,2010/2011,0,55,55
3,29832,2,09:31,-, Lukáš Benda, Roman Žampach,2010/2011,9,31,571
4,29832,2,11:43,-, Václav Rides, Ctibor Chmelař,2010/2011,11,43,703
5,29832,3,01:58,-, Miloš Zapadlo, Lukáš Benda,2010/2011,1,58,118
6,29832,3,06:19,-, Lukáš Benda, Miloš Zapadlo,2010/2011,6,19,379
7,29832,3,09:52,-, Ctibor Chmelař, Václav Rides,2010/2011,9,52,592
0,40660,1,05:33,-, Miloš Zapadlo, Filip Trousil,2010/2011,5,33,333
1,40660,2,02:44,-, Ctibor Chmelař, Václav Rides,2010/2011,2,44,164
2,40660,3,11:54,-, Miloš Zapadlo, Štěpán Trousil,2010/2011,11,54,714
0,41547,1,06:37,PP, Martin Elišák,,2010/2011,6,37,397
1,41547,2,09:49,-, Miloš Zapadlo, Martin Elišák,2010/2011,9,49,589
2,41547,3,06:26,-, Miloš Zapadlo, Štěpán Trousil,2010/2011,6,26,386
0,43569,1,00:22,-, Jakub Nováček, Jakub Mádr,2010/2011,0,22,22
1,43569,1,03:24,-, Miloš Zapadlo,,2010/2011,3,24,204
2,43569,2,05:17,-, Miloš Zapadlo, Martin Elišák,2010/2011,5,17,317
3,43569,2,05:53,-, Miloš Zapadlo, Filip Trousil,2010/2011,5,53,353
4,43569,3,11:44,-, Miloš Zapadlo,,2010/2011,11,44,704
0,46482,2,07:48,-, Martin Elišák, Štěpán Trousil,2011/2012,7,48,468
1,46482,2,08:46,-, Štěpán Trousil, Jakub Mádr,2011/2012,8,46,526
2,46482,3,02:06,PP, Štěpán Trousil, Roman Žampach,2011/2012,2,6,126
0,48470,2,02:52,-, Ladislav Tyll, Zdeněk Karásek,2011/2012,2,52,172
1,48470,3,08:54,-, Miloš Zapadlo, Štěpán Trousil,2011/2012,8,54,534
0,48466,2,10:38,PP, Adam Štefánik, Filip Weber,2011/2012,10,38,638
0,50281,1,03:54,-, Miloš Zapadlo, Filip Trousil,2011/2012,3,54,234
1,50281,1,09:12,-, Václav Rides, Ctibor Chmelař,2011/2012,9,12,552
2,50281,1,11:28,-, Štěpán Trousil, Miloš Zapadlo,2011/2012,11,28,688
3,50281,2,03:27,-, Miloš Zapadlo, Filip Trousil,2011/2012,3,27,207
4,50281,2,09:57,-, Ladislav Tyll, Jakub Nováček,2011/2012,9,57,597
5,50281,3,04:43,-, Štěpán Trousil, Filip Weber,2011/2012,4,43,283
0,50278,1,00:56,-, Ladislav Tyll,,2011/2012,0,56,56
1,50278,1,02:36,-, Štěpán Trousil, Martin Elišák,2011/2012,2,36,156
2,50278,2,05:47,-, Miloš Zapadlo, Filip Weber,2011/2012,5,47,347
3,50278,2,05:54,-, Štěpán Trousil, Miloš Zapadlo,2011/2012,5,54,354
4,50278,3,05:40,-, Ctibor Chmelař, Štěpán Trousil,2011/2012,5,40,340
0,52514,1,03:05,-, Václav Rides, Roman Žampach,2011/2012,3,5,185
1,52514,1,03:41,-, Jakub Nováček, Ladislav Tyll,2011/2012,3,41,221
2,52514,1,11:55,PP, Zdeněk Máčel, Václav Rides,2011/2012,11,55,715
3,52514,2,00:50,-, Ladislav Tyll, Jakub Mádr,2011/2012,0,50,50
4,52514,2,08:47,-, Ctibor Chmelař, Václav Rides,2011/2012,8,47,527
5,52514,2,10:31,-, Jakub Nováček, Adam Štefánik,2011/2012,10,31,631
6,52514,3,00:21,-, Václav Rides, Filip Trousil,2011/2012,0,21,21
0,52510,1,00:17,-, Ladislav Tyll, Jakub Nováček,2011/2012,0,17,17
1,52510,1,05:41,-, Štěpán Trousil, Miloš Zapadlo,2011/2012,5,41,341
2,52510,2,07:35,PP, Ctibor Chmelař, Filip Weber,2011/2012,7,35,455
3,52510,2,11:29,-, Ctibor Chmelař, Václav Rides,2011/2012,11,29,689
4,52510,3,08:20,-, Štěpán Trousil, Martin Elišák,2011/2012,8,20,500
5,52510,3,11:57,-, Štěpán Trousil, Miloš Zapadlo,2011/2012,11,57,717
0,53206,1,07:39,-, Štěpán Trousil, Filip Trousil,2011/2012,7,39,459
1,53206,1,07:47,-, Štěpán Trousil, Miloš Zapadlo,2011/2012,7,47,467
2,53206,1,11:32,-, Jakub Nováček, Miloš Zapadlo,2011/2012,11,32,692
3,53206,2,02:38,-, Ctibor Chmelař, Roman Žampach,2011/2012,2,38,158
4,53206,3,02:37,-, Štěpán Trousil, Miloš Zapadlo,2011/2012,2,37,157
5,53206,3,03:23,-, Ctibor Chmelař, Václav Rides,2011/2012,3,23,203
6,53206,3,05:36,-, Štěpán Trousil, Miloš Zapadlo,2011/2012,5,36,336
7,53206,3,08:29,-, Zdeněk Karásek, Adam Štefánik,2011/2012,8,29,509
8,53206,3,10:39,SH, Václav Rides, Adam Bardún,2011/2012,10,39,639
0,53208,3,05:29,-, Miloš Zapadlo, Filip Weber,2011/2012,5,29,329
0,55810,1,08:27,-, Miloš Zapadlo, Štěpán Trousil,2011/2012,8,27,507
1,55810,2,10:53,-, Adam Štefánik, Roman Žampach,2011/2012,10,53,653
2,55810,2,11:39,-, Adam Štefánik,,2011/2012,11,39,699
3,55810,3,02:32,-, Ladislav Tyll,,2011/2012,2,32,152
0,56545,2,07:21,-, Ctibor Chmelař, Filip Weber,2011/2012,7,21,441
