,Id,Team,Opponent,Goal_team,Goal_opponent,Outcome,Date_place,visitors,begin_end,round_soutez,casti_strely,referee,delegate,MOTM_Team,MOTM_Opponent,MOTM,Season
0,291144,FBC Ressler boys,Florbal Neratovice B,3,6,Lose,neděle 12.09.2021; Nová MSH Mladá Boleslav,počet diváků: 10,začátek 10:10; konec 11:09,Utkání: 3XM8-C002; 1. kolo; PH a SČ soutěž mužů,"části: 0:3, 2:0, 4:0, střely na branku: 0:0","rozhodčí: Sidenberg Tadeáš, Miksánek Tomáš",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","                Player
4  26 Michal Brnka (O)","                Player
4  26 Michal Brnka (O)",2021/2022
1,291700,FBC Ressler boys,FBC Lions Mladá Boleslav,0,4,Lose,neděle 03.10.2021; SH Kostelec nad Černými lesy,počet diváků: 0,začátek 10:10; konec 11:10,Utkání: 3XM8-C012; 2. kolo; PH a SČ soutěž mužů,"části: 2:0, 2:0, 0:0, střely na branku: 0:0","rozhodčí: Tůma Jan, Novák Filip",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","              Player
9  88 Jiří Havel (U)","              Player
9  88 Jiří Havel (U)",2021/2022
2,293466,FBC Ressler boys,SK Black Dragons,10,1,Win,neděle 03.10.2021; SH Kostelec nad Černými lesy,počet diváků: 4,začátek 13:40; konec 14:40,Utkání: 3XM8-C015; 2. kolo; PH a SČ soutěž mužů,"části: 3:0, 4:0, 3:1, střely na branku: 0:0","rozhodčí: Jindra Petr, Váňa Jaroslav",delegát: ,"                  Player
3  21 Michael Obrtel (U)","                Player
8  40 Martin Javor (O)","                  Player
3  21 Michael Obrtel (U)",2021/2022
3,297187,FBC Ressler boys,Prague Tigers D,1,9,Lose,sobota 23.10.2021; Sport Eden Beroun,počet diváků: 10,začátek 09:10; konec 10:06,Utkání: 3XM8-C022; 3. kolo; PH a SČ soutěž mužů,"části: 1:0, 4:1, 4:0, střely na branku: 0:0","rozhodčí: Buzický Vladimír, Dolejš Dominik",delegát: ,"                 Player
8  94 Ladislav Tyll (U)","                  Player
1  7 František Novák (O)","                  Player
1  7 František Novák (O)",2021/2022
4,297199,FBC Ressler boys,FBK DDM Praha 2,1,8,Lose,sobota 23.10.2021; Sport Eden Beroun,počet diváků: 0,začátek 11:30; konec 12:19,Utkání: 3XM8-C024; 3. kolo; PH a SČ soutěž mužů,"části: 0:3, 1:2, 0:3, střely na branku: 0:0","rozhodčí: Hencl Karel, Tomášek Lukáš",delegát: ,"               Player
4  61 Aleš Bambas (U)","            Player
7  44 Jan Šmíd (U)","            Player
7  44 Jan Šmíd (U)",2021/2022
5,300872,FBC Ressler boys,Orka Čelákovice C,4,9,Lose,neděle 14.11.2021; SH Králův Dvůr,počet diváků: 0,začátek 15:00; konec 15:53,Utkání: 3XM8-C037; 4. kolo; PH a SČ soutěž mužů,"části: 3:2, 1:4, 0:3, střely na branku: 0:0","rozhodčí: Lauda Václav, Bejčková Anna",delegát: ,"               Player
3   31 Pavel Malý (O)
5  88 Michal Rosí (U)","             Player
7  50 Jan Mitka (U)","             Player
7  50 Jan Mitka (U)",2021/2022
6,300871,FBC Ressler boys,FBC Merkur Praha,1,6,Lose,neděle 14.11.2021; SH Králův Dvůr,počet diváků: 0,začátek 18:30; konec 19:11,Utkání: 3XM8-C040; 4. kolo; PH a SČ soutěž mužů,"části: 1:0, 3:1, 2:0, střely na branku: 0:0","rozhodčí: Lauda Václav, Bejčková Anna",delegát: ,"                 Player
5  78 Václav Štochl (O)","                  Player
10  91 Miroslav Dobš (U)","                  Player
10  91 Miroslav Dobš (U)",2021/2022
7,304844,FBC Ressler boys,SOKOL CHODOV,2,3,Lose,sobota 04.12.2021; SH TJ Kobylisy,počet diváků: 0,začátek 08:00; konec 09:00,Utkání: 3XM8-C041; 5. kolo; PH a SČ soutěž mužů,"části: 1:1, 1:1, 1:0, střely na branku: 0:0","rozhodčí: Trnobranský Karel, Kušnirák Christian-Marcel",delegát: ,"                Player
8  98 Matěj Soukup (O)","                Player
1  8 Tomáš Třešňák (U)
3   11 Tomáš Klesa (U)","                Player
1  8 Tomáš Třešňák (U)
3   11 Tomáš Klesa (U)",2021/2022
8,304843,FBC Ressler boys,Floor Maniacs Mělník,2,8,Lose,sobota 04.12.2021; SH TJ Kobylisy,počet diváků: 0,začátek 10:20; konec 11:19,Utkání: 3XM8-C043; 5. kolo; PH a SČ soutěž mužů,"části: 1:1, 0:2, 1:5, střely na branku: 0:0","rozhodčí: Hanzal Jan, Kos Vojtěch",delegát: ,"                Player
8  98 Matěj Soukup (O)","                  Player
9  97 Matěj Vetešník (U)","                  Player
9  97 Matěj Vetešník (U)",2021/2022
9,307481,FBC Ressler boys,Prague Tigers D,1,9,Lose,sobota 18.12.2021; TJ Radlice,počet diváků: 0,začátek 09:00; konec 10:01,Utkání: 3XM8-C051; 6. kolo; PH a SČ soutěž mužů,"části: 0:5, 0:1, 1:3, střely na branku: 14:39","rozhodčí: McIntosh Alexander, Třešňák Tomáš",delegát: ,"                 Player
5  94 Ladislav Tyll (U)","                 Player
3  15 Zdeněk Veselý (U)","                 Player
3  15 Zdeněk Veselý (U)",2021/2022
10,307487,FBC Ressler boys,Florbal TJ Kobylisy D,2,13,Win,sobota 18.12.2021; TJ Radlice,počet diváků: 0,začátek 12:30; konec 13:45,Utkání: 3XM8-C054; 6. kolo; PH a SČ soutěž mužů,"části: 3:1, 5:1, 5:0, střely na branku: 42:21","rozhodčí: McIntosh Alexander, Třešňák Tomáš",delegát: ,"Empty DataFrame
Columns: [Player]
Index: []","                 Player
2  13 Ctirad Malina (U)","                 Player
2  13 Ctirad Malina (U)",2021/2022
